bytes_scanned;block_size;Table1_ms;Table1_bytes_per_ns;Table2_ms;Table2_bytes_per_ns;Sheng1_ms;Sheng1_bytes_per_ns;Sheng2_ms;Sheng2_bytes_per_ns;Sheng3_ms;Sheng3_bytes_per_ns;Sheng4_ms;Sheng4_bytes_per_ns
2147483648;1024;4235;0.507;3000;0.716;685;3.132;684;3.136;687;3.126;687;3.123
2147483648;2048;4165;0.516;2979;0.721;669;3.206;6739;0.319;676;3.176;672;3.196
2147483648;4096;4171;0.515;2989;0.718;663;3.237;3461;0.620;4554;0.472;5448;0.394
2147483648;8192;4169;0.515;2980;0.721;662;3.240;1904;1.128;2369;0.906;2961;0.725
2147483648;16384;4198;0.512;2994;0.717;666;3.221;1145;1.874;1186;1.810;1672;1.284
2147483648;32768;4180;0.514;2986;0.719;660;3.250;795;2.700;732;2.931;1072;2.003
2147483648;65536;4178;0.514;2977;0.721;659;3.258;586;3.662;575;3.734;748;2.870
2147483648;131072;4175;0.514;2988;0.719;661;3.249;473;4.531;387;5.548;559;3.839
2147483648;262144;4187;0.513;2989;0.718;662;3.243;423;5.072;343;6.247;462;4.642
2147483648;524288;4177;0.514;2988;0.719;660;3.251;411;5.218;315;6.804;401;5.344
2147483648;1048576;4174;0.514;2989;0.718;657;3.267;406;5.282;325;6.594;406;5.277
2147483648;2097152;4177;0.514;2989;0.718;660;3.251;402;5.339;299;7.169;410;5.236
2147483648;4194304;4182;0.513;2988;0.719;660;3.251;380;5.646;280;7.662;386;5.561
2147483648;8388608;4178;0.514;2998;0.716;661;3.248;373;5.753;259;8.282;340;6.315
2147483648;16777216;4179;0.514;2987;0.719;660;3.251;366;5.854;258;8.320;311;6.896
2147483648;33554432;4173;0.515;2984;0.719;659;3.258;356;6.027;260;8.237;214;9.990
2147483648;67108864;4174;0.514;2978;0.721;660;3.251;360;5.964;248;8.644;202;10.612
2147483648;134217728;4182;0.514;2987;0.719;661;3.246;355;6.038;247;8.677;208;10.319
2147483648;268435456;4172;0.515;2994;0.717;659;3.259;357;6.000;251;8.538;213;10.071
2147483648;536870912;4163;0.516;2988;0.719;659;3.257;345;6.224;246;8.718;209;10.273
2147483648;1073741824;4168;0.515;2993;0.717;666;3.224;338;6.339;279;7.695;204;10.498
